
 iter= 49 ;  day= 10 ;  method= PCA_perm 

 iter= 47 ;  day= 10 ;  method= PCA_perm 

 iter= 50 ;  day= 10 ;  method= PCA_perm 

 iter= 46 ;  day= 10 ;  method= PCA_perm 

 iter= 1 ;  day= 2 ;  method= bPLS_perm 

 iter= 2 ;  day= 2 ;  method= bPLS_perm 

 iter= 3 ;  day= 2 ;  method= bPLS_perm 

 iter= 4 ;  day= 2 ;  method= bPLS_perm 

 iter= 5 ;  day= 2 ;  method= bPLS_perm 

 iter= 6 ;  day= 2 ;  method= bPLS_perm 

 iter= 7 ;  day= 2 ;  method= bPLS_perm 

 iter= 8 ;  day= 2 ;  method= bPLS_perm 

 iter= 9 ;  day= 2 ;  method= bPLS_perm 

 iter= 4 ;  day= 3 ;  method= bPLS_perm 

 iter= 5 ;  day= 3 ;  method= bPLS_perm 

 iter= 3 ;  day= 3 ;  method= bPLS_perm 

 iter= 9 ;  day= 3 ;  method= bPLS_perm 

 iter= 2 ;  day= 3 ;  method= bPLS_perm 

 iter= 1 ;  day= 3 ;  method= bPLS_perm 

 iter= 7 ;  day= 3 ;  method= bPLS_perm 

 iter= 8 ;  day= 3 ;  method= bPLS_perm 

 iter= 6 ;  day= 3 ;  method= bPLS_perm 

 iter= 9 ;  day= 4 ;  method= bPLS_perm 

 iter= 4 ;  day= 4 ;  method= bPLS_perm 

 iter= 3 ;  day= 4 ;  method= bPLS_perm 

 iter= 5 ;  day= 4 ;  method= bPLS_perm 

 iter= 2 ;  day= 4 ;  method= bPLS_perm 

 iter= 7 ;  day= 4 ;  method= bPLS_perm 

 iter= 6 ;  day= 4 ;  method= bPLS_perm 

 iter= 8 ;  day= 4 ;  method= bPLS_perm 

 iter= 1 ;  day= 4 ;  method= bPLS_perm 

 iter= 4 ;  day= 5 ;  method= bPLS_perm 

 iter= 9 ;  day= 5 ;  method= bPLS_perm 

 iter= 5 ;  day= 5 ;  method= bPLS_perm 

 iter= 7 ;  day= 5 ;  method= bPLS_perm 

