
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 21 ;  day= 2 ;  method= PCA 

 iter= 20 ;  day= 2 ;  method= PCA 

 iter= 19 ;  day= 2 ;  method= PCA 

 iter= 23 ;  day= 2 ;  method= ICA 

 iter= 24 ;  day= 2 ;  method= ICA 

 iter= 20 ;  day= 2 ;  method= ICA 

 iter= 21 ;  day= 2 ;  method= ICA 

 iter= 22 ;  day= 2 ;  method= ICA 

 iter= 26 ;  day= 2 ;  method= ICA 

 iter= 25 ;  day= 2 ;  method= ICA 

 iter= 27 ;  day= 2 ;  method= ICA 

 iter= 19 ;  day= 2 ;  method= ICA 

 iter= 26 ;  day= 3 ;  method= PCA 

 iter= 22 ;  day= 3 ;  method= PCA 

 iter= 23 ;  day= 3 ;  method= PCA 

 iter= 20 ;  day= 3 ;  method= PCA 

 iter= 24 ;  day= 3 ;  method= PCA 

 iter= 21 ;  day= 3 ;  method= PCA 

 iter= 25 ;  day= 3 ;  method= PCA 

 iter= 27 ;  day= 3 ;  method= PCA 

 iter= 19 ;  day= 3 ;  method= PCA 

 iter= 23 ;  day= 3 ;  method= ICA 

 iter= 20 ;  day= 3 ;  method= ICA 

 iter= 21 ;  day= 3 ;  method= ICA 

 iter= 25 ;  day= 3 ;  method= ICA 

 iter= 24 ;  day= 3 ;  method= ICA 

 iter= 27 ;  day= 3 ;  method= ICA 

 iter= 26 ;  day= 3 ;  method= ICA 

 iter= 22 ;  day= 3 ;  method= ICA 

 iter= 19 ;  day= 3 ;  method= ICA 

 iter= 25 ;  day= 4 ;  method= PCA 

 iter= 23 ;  day= 4 ;  method= PCA 

 iter= 20 ;  day= 4 ;  method= PCA 

 iter= 24 ;  day= 4 ;  method= PCA 

 iter= 27 ;  day= 4 ;  method= PCA 

 iter= 26 ;  day= 4 ;  method= PCA 

 iter= 19 ;  day= 4 ;  method= PCA 

 iter= 21 ;  day= 4 ;  method= PCA 

 iter= 22 ;  day= 4 ;  method= PCA 

 iter= 27 ;  day= 4 ;  method= ICA 

 iter= 25 ;  day= 4 ;  method= ICA 

 iter= 22 ;  day= 4 ;  method= ICA 

 iter= 24 ;  day= 4 ;  method= ICA 

 iter= 20 ;  day= 4 ;  method= ICA 

 iter= 21 ;  day= 4 ;  method= ICA 

 iter= 26 ;  day= 4 ;  method= ICA 

 iter= 19 ;  day= 4 ;  method= ICA 

 iter= 23 ;  day= 4 ;  method= ICA 

 iter= 23 ;  day= 5 ;  method= PCA 

 iter= 20 ;  day= 5 ;  method= PCA 

 iter= 25 ;  day= 5 ;  method= PCA 

 iter= 27 ;  day= 5 ;  method= PCA 

 iter= 21 ;  day= 5 ;  method= PCA 

 iter= 24 ;  day= 5 ;  method= PCA 

 iter= 19 ;  day= 5 ;  method= PCA 

 iter= 22 ;  day= 5 ;  method= PCA 

 iter= 26 ;  day= 5 ;  method= PCA 

 iter= 27 ;  day= 5 ;  method= ICA 

 iter= 24 ;  day= 5 ;  method= ICA 

 iter= 25 ;  day= 5 ;  method= ICA 

 iter= 19 ;  day= 5 ;  method= ICA 

 iter= 22 ;  day= 5 ;  method= ICA 

 iter= 23 ;  day= 5 ;  method= ICA 

 iter= 26 ;  day= 5 ;  method= ICA 

 iter= 20 ;  day= 5 ;  method= ICA 

 iter= 21 ;  day= 5 ;  method= ICA 

 iter= 27 ;  day= 6 ;  method= PCA 

 iter= 25 ;  day= 6 ;  method= PCA 

 iter= 24 ;  day= 6 ;  method= PCA 

 iter= 23 ;  day= 6 ;  method= PCA 

 iter= 22 ;  day= 6 ;  method= PCA 

 iter= 19 ;  day= 6 ;  method= PCA 

 iter= 20 ;  day= 6 ;  method= PCA 

 iter= 26 ;  day= 6 ;  method= PCA 

 iter= 21 ;  day= 6 ;  method= PCA 

 iter= 27 ;  day= 6 ;  method= ICA 

 iter= 24 ;  day= 6 ;  method= ICA 

 iter= 23 ;  day= 6 ;  method= ICA 

 iter= 25 ;  day= 6 ;  method= ICA 

 iter= 22 ;  day= 6 ;  method= ICA 

 iter= 21 ;  day= 6 ;  method= ICA 

 iter= 20 ;  day= 6 ;  method= ICA 

 iter= 19 ;  day= 6 ;  method= ICA 

 iter= 26 ;  day= 6 ;  method= ICA 

 iter= 27 ;  day= 7 ;  method= PCA 

 iter= 25 ;  day= 7 ;  method= PCA 

 iter= 24 ;  day= 7 ;  method= PCA 

 iter= 23 ;  day= 7 ;  method= PCA 

 iter= 21 ;  day= 7 ;  method= PCA 

 iter= 22 ;  day= 7 ;  method= PCA 

 iter= 20 ;  day= 7 ;  method= PCA 

 iter= 19 ;  day= 7 ;  method= PCA 

 iter= 26 ;  day= 7 ;  method= PCA 

